,Id,y
0,10000,-66.00242349023156
1,10001,451.40650440115326
2,10002,-461.6764170602977
3,10003,40.50120875372457
4,10004,-126.74472245403831
5,10005,-342.5345518192521
6,10006,-396.55554211358844
7,10007,335.54127907908713
8,10008,-99.5124208706248
9,10009,304.8125398062758
10,10010,68.89453048978565
11,10011,412.3691954559076
12,10012,54.942371024767795
13,10013,-17.005550754780042
14,10014,-597.8499575722615
15,10015,443.5022887864138
16,10016,144.77448697804283
17,10017,-57.41116367253717
18,10018,134.38782757746287
19,10019,-108.98377598910909
20,10020,153.82482842506744
21,10021,611.7359836022026
22,10022,588.3896503384226
23,10023,-131.01679995801942
24,10024,-61.135621141228526
25,10025,-374.2484953169717
26,10026,74.15799307965392
27,10027,137.4383787361033
28,10028,420.0866117967907
29,10029,196.76562571344522
30,10030,268.4428498005328
31,10031,638.4749102511093
32,10032,127.37873138691765
33,10033,1.3491187584000954
34,10034,22.710453177406453
35,10035,342.2395345225647
36,10036,307.70396697417164
37,10037,348.13820870094173
38,10038,-168.65286130735367
39,10039,-20.221130904617663
40,10040,-551.7499275731099
41,10041,-429.9718040667414
42,10042,261.89195870674246
43,10043,389.82042612922066
44,10044,-96.16562227356589
45,10045,-210.7108012563268
46,10046,278.8818687840128
47,10047,-427.4533010310482
48,10048,-172.9032529175694
49,10049,467.2643783557834
50,10050,-631.5587355874396
51,10051,-355.53165933817723
52,10052,143.17327553860372
53,10053,69.19920259894153
54,10054,275.58827397672695
55,10055,-263.1886122041034
56,10056,167.49830723241152
57,10057,104.57789589014129
58,10058,230.0700866100768
59,10059,20.98802664457661
60,10060,-4.822581262501895
61,10061,-201.92294081063767
62,10062,560.0639265657703
63,10063,55.28847625244828
64,10064,671.3015746918336
65,10065,-493.74873828522874
66,10066,-279.35303673259153
67,10067,-53.71252761314621
68,10068,379.69819550097577
69,10069,315.0714108579839
70,10070,169.13001732614217
71,10071,-271.59930326900985
72,10072,783.8022226750342
73,10073,44.57731151554809
74,10074,57.4067800545791
75,10075,-161.0782741430688
76,10076,-220.66957847885686
77,10077,223.24129442929097
78,10078,352.66559554375596
79,10079,13.163291366266495
80,10080,-461.9941469857305
81,10081,305.37214669142463
82,10082,-230.59656173860986
83,10083,359.0744432425437
84,10084,-430.2605633759205
85,10085,-115.5488220554646
86,10086,-88.96006387867362
87,10087,-488.29018980804244
88,10088,-139.35033854713595
89,10089,57.33880810852611
90,10090,-190.3362427216643
91,10091,-6.508092914823916
92,10092,189.29107774701794
93,10093,346.6036781856559
94,10094,871.6273206485914
95,10095,-147.01353738653913
96,10096,443.48993777943065
97,10097,-30.498432974438384
98,10098,185.46345753445786
99,10099,-119.91717151732698
100,10100,43.57523800180914
101,10101,58.3185715522427
102,10102,-197.1524682983984
103,10103,-70.47160678841215
104,10104,-342.8460532886668
105,10105,-29.23358987371635
